experiment,layers,dropout_rate,activation,timesteps,batch_size,filters,kernel_size,pool_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
39,1,0.0,relu,14,10,32,5,1,25,0.17397843301296234,0.1987093687057495,0.04211748453478018,0.02996690881748994,0.04287717988093694,[[0.25312608]],[[0.18010112]],[[0.25769185]],24.580514669418335
40,1,0.0,relu,14,10,32,5,2,25,0.16570191085338593,0.19150429964065552,0.04143489648898443,0.028987993175784748,0.04216858620444933,[[0.24902373]],[[0.17421784]],[[0.2534332]],25.71333956718445
41,1,0.0,relu,14,10,32,6,1,25,0.1745830774307251,0.20099450647830963,0.04186788077155749,0.029657520353794098,0.042633067816495895,[[0.25162596]],[[0.1782417]],[[0.25622474]],25.907159566879272
42,1,0.0,relu,14,10,32,6,2,25,0.20438943803310394,0.23014545440673828,0.04977509255210558,0.037263972063859306,0.05035701642433802,[[0.29914831]],[[0.22395647]],[[0.30264567]],20.742827653884888
43,1,0.0,relu,14,10,64,4,1,25,0.16794870793819427,0.19186608493328094,0.04216243512928486,0.029744766652584076,0.04288310930132866,[[0.25339624]],[[0.17876605]],[[0.25772749]],19.82380723953247
44,1,0.0,relu,14,10,64,4,2,25,0.2362089902162552,0.2599329948425293,0.05663766339421272,0.04441568814218044,0.05710216363271078,[[0.34039236]],[[0.26693829]],[[0.343184]],20.964417695999146
45,1,0.0,relu,14,10,64,5,1,25,0.16023586690425873,0.1857125163078308,0.040546741957465805,0.028312016899387043,0.04122102508942286,[[0.24368592]],[[0.17015522]],[[0.24773836]],19.24199604988098
46,1,0.0,relu,14,10,64,5,2,25,0.23103219270706177,0.2551485598087311,0.05378992979725202,0.04181923593084017,0.05423210437099139,[[0.32327748]],[[0.25133361]],[[0.32593495]],18.759178161621094
47,1,0.0,relu,14,10,64,6,1,25,0.1740712672472,0.1970575600862503,0.04487296318014463,0.03275970866282781,0.045512848844130836,[[0.26968651]],[[0.19688585]],[[0.27353222]],25.974517107009888
48,1,0.0,relu,14,10,64,6,2,25,0.22260946035385132,0.24633930623531342,0.053962357342243195,0.04169337451457977,0.054462882379690804,[[0.32431377]],[[0.25057718]],[[0.32732192]],20.785388231277466
49,1,0.0,relu,14,20,32,4,1,25,0.1566040962934494,0.1805942803621292,0.03941055821875731,0.02672683944304784,0.04013131558895111,[[0.23685745]],[[0.16062831]],[[0.24118921]],16.838214635849
50,1,0.0,relu,14,20,32,4,2,25,0.17452718317508698,0.19981233775615692,0.04419160634279251,0.03176261050005754,0.04491977393627167,[[0.26559155]],[[0.19089329]],[[0.26996784]],16.99848699569702
51,1,0.0,relu,14,20,32,5,1,25,0.19200505316257477,0.21759213507175446,0.0411491667230924,0.029005434984962147,0.0418388694524765,[[0.24730649]],[[0.17432266]],[[0.25145161]],15.53830099105835
52,1,0.0,relu,14,20,32,5,2,25,0.17975306510925293,0.20537041127681732,0.04180451792975267,0.029467421273390453,0.042596038430929184,[[0.25124515]],[[0.1770992]],[[0.25600219]],16.426908254623413
53,1,0.0,relu,14,20,32,6,1,25,0.16494034230709076,0.18845383822917938,0.0384090735266606,0.025954675550262134,0.03918372715512911,[[0.23083853]],[[0.1559876]],[[0.2354942]],16.182976722717285
54,1,0.0,relu,14,20,32,6,2,25,0.18813176453113556,0.213553324341774,0.044399858762820564,0.03202049185832342,0.04517114410797755,[[0.26684315]],[[0.19244316]],[[0.27147858]],14.995384216308594
55,1,0.0,relu,14,20,64,4,1,25,0.16860254108905792,0.19443279504776,0.038862461845080055,0.026270604381958645,0.039615847170352936,[[0.2335634]],[[0.15788633]],[[0.23809124]],14.606886625289917
56,1,0.0,relu,14,20,64,4,2,25,0.1689162254333496,0.19333481788635254,0.044144727289676666,0.03183469052116076,0.04484796275695165,[[0.26530981]],[[0.19132649]],[[0.26953626]],16.703097343444824
57,1,0.0,relu,14,20,64,5,1,25,0.18520690500736237,0.20958536863327026,0.04132352272669474,0.02925872678558032,0.0420283650358518,[[0.24835437]],[[0.17584495]],[[0.25259047]],15.046921491622925
58,1,0.0,relu,14,20,64,5,2,25,0.16514118015766144,0.18930333852767944,0.0410236157476902,0.028626350685954094,0.04176007335384687,[[0.24655193]],[[0.17204437]],[[0.25097804]],14.125731229782104
59,1,0.0,relu,14,20,64,6,1,25,0.18730057775974274,0.21195615828037262,0.04108028610547384,0.02866750831405322,0.04180710266033808,[[0.24689252]],[[0.17229172]],[[0.25126069]],14.512863874435425
60,1,0.0,relu,14,20,64,6,2,25,0.18646161258220673,0.20935553312301636,0.04558468237519264,0.03317034927507242,0.046333259592453636,[[0.27396394]],[[0.1993538]],[[0.27846289]],16.27211022377014
61,1,0.0,relu,14,30,32,4,1,25,0.17625737190246582,0.20263975858688354,0.042524141569932304,0.030165566131472588,0.04316988339026769,[[0.25557009]],[[0.18129505]],[[0.259451]],14.311429738998413
62,1,0.0,relu,14,30,32,4,2,25,0.17004616558551788,0.19381384551525116,0.04393965502580007,0.03156831239660581,0.044573514411846794,[[0.26407733]],[[0.18972556]],[[0.26788682]],13.003188133239746
63,1,0.0,relu,14,30,32,5,1,25,0.20402748882770538,0.2288367748260498,0.04424536849061648,0.03223647487660249,0.045021275679270424,[[0.26591466]],[[0.19374121]],[[0.27057787]],13.376420974731445
64,1,0.0,relu,14,30,32,5,2,25,0.17217479646205902,0.19760121405124664,0.04022712384661039,0.028048360720276833,0.04096047580242157,[[0.24176501]],[[0.16857065]],[[0.24617246]],13.282146215438843
65,1,0.0,relu,14,30,32,6,1,25,0.1980627179145813,0.22121159732341766,0.04343398412068685,0.03126787208020687,0.044199295341968536,[[0.26103824]],[[0.18791991]],[[0.26563777]],13.380459547042847
66,1,0.0,relu,14,30,32,6,2,25,0.16817443072795868,0.19240252673625946,0.041658310840527214,0.02934042178094387,0.04237882420420647,[[0.25036645]],[[0.17633593]],[[0.25469673]],13.618867874145508
67,1,0.0,relu,14,30,64,4,1,25,0.16664005815982819,0.19393110275268555,0.03863075685997804,0.025915699700514477,0.039441872388124466,[[0.23217085]],[[0.15575336]],[[0.23704565]],12.532981157302856
68,1,0.0,relu,14,30,64,4,2,25,0.18501390516757965,0.20903204381465912,0.04448722178737322,0.031831568107008934,0.04517835254470507,[[0.2673682]],[[0.19130772]],[[0.2715219]],13.172775745391846
