experiment,layers,neurons,dropout_rate,activation,timesteps,batch_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
28,1,32,0.5,tanh,7,10,50,0.15558554232120514,0.18008553981781006,0.0394283135732015,0.02799316744009654,0.0399973647048076,[[0.23696416]],[[0.16823894]],[[0.24038416]],38.79668927192688
29,1,32,0.5,tanh,7,20,50,0.1522674411535263,0.17736606299877167,0.03818488804002603,0.026345109567046165,0.038807896276315056,[[0.22949118]],[[0.15833411]],[[0.23323546]],36.161893129348755
30,1,32,0.5,tanh,7,30,50,0.157957062125206,0.18104863166809082,0.03928293598194917,0.027546543007095654,0.03990261753400167,[[0.23609045]],[[0.16555472]],[[0.23981473]],29.3366641998291
31,1,32,0.5,tanh,14,10,50,0.16484278440475464,0.18993598222732544,0.03857853698233763,0.02652508703370889,0.03935430074731509,[[0.23185701]],[[0.15941577]],[[0.23651935]],38.93253469467163
32,1,32,0.5,tanh,14,20,50,0.15887057781219482,0.18586187064647675,0.03777071771522363,0.02578563118974368,0.038578404734532036,[[0.22700201]],[[0.15497164]],[[0.23185621]],35.402342081069946
33,1,32,0.5,tanh,14,30,50,0.16661189496517181,0.1915885955095291,0.03896245298286279,0.027146009107430775,0.039758517096439995,[[0.23416434]],[[0.16314751]],[[0.23894869]],24.60690951347351
34,1,32,0.5,tanh,21,10,50,0.17223770916461945,0.1960294097661972,0.041405816872914634,0.02775154324869315,0.04112688514093558,[[0.24884896]],[[0.16678677]],[[0.24717258]],47.51164269447327
35,1,32,0.5,tanh,21,20,50,0.16813236474990845,0.19547313451766968,0.039743270725011826,0.025900387515624363,0.039498792961239815,[[0.23885706]],[[0.15566133]],[[0.23738775]],30.06293821334839
36,1,32,0.5,tanh,21,30,50,0.17152239382266998,0.19794154167175293,0.041462719440460205,0.027835195263226826,0.041139827420314155,[[0.24919094]],[[0.16728952]],[[0.24725036]],27.41331386566162
37,1,64,0.0,relu,7,10,50,0.16112522780895233,0.18552303314208984,0.037515763814250626,0.02525208704173565,0.03822611520687739,[[0.22546974]],[[0.15176504]],[[0.22973895]],41.54915523529053
38,1,64,0.0,relu,7,20,50,0.16522078216075897,0.18981461226940155,0.03816382711132368,0.0258051094909509,0.03885131080945333,[[0.2293646]],[[0.15508871]],[[0.23349638]],33.842217206954956
39,1,64,0.0,relu,7,30,50,0.16103647649288177,0.18609358370304108,0.037435208136836685,0.024870844557881355,0.03816692096491655,[[0.2249856]],[[0.14947378]],[[0.22938319]],26.364126682281494
40,1,64,0.0,relu,14,10,50,0.1700599640607834,0.19679510593414307,0.03867799292008082,0.026815588896473248,0.03944285834829012,[[0.23245474]],[[0.16116169]],[[0.23705158]],48.002644777297974
41,1,64,0.0,relu,14,20,50,0.20100349187850952,0.2241053581237793,0.04032305876413981,0.0280919149518013,0.041143628458182015,[[0.24234158]],[[0.16883241]],[[0.24727321]],34.01470971107483
