experiment,layers,neurons,dropout_rate,activation,timesteps,batch_size,epochs,mae_blind,rmse_blind,loss,mae,rmse,loss,mae,rmse,train_time
20,1,32,0.5,relu,7,20,25,0.17101611196994781,0.19460637867450714,0.0444649967054526,0.03305926360189915,0.04486254354317983,[[0.26723463]],[[0.19868617]],[[0.26962389]],24.192808866500854
21,1,32,0.5,relu,7,30,25,0.2056458443403244,0.22573429346084595,0.050491408755381904,0.039658005038897194,0.05077030509710312,[[0.30345337]],[[0.23834461]],[[0.30512953]],22.789947509765625
22,1,32,0.5,relu,14,10,25,0.18933998048305511,0.21256090700626373,0.05013107880949974,0.03823147093256315,0.05043405294418335,[[0.30128778]],[[0.22977114]],[[0.30310866]],35.24379229545593
23,1,32,0.5,relu,14,20,25,0.16512732207775116,0.1899551898241043,0.043972328305244446,0.03284685562054316,0.04446123416225115,[[0.26427369]],[[0.1974096]],[[0.26721202]],24.3909809589386
24,1,32,0.5,relu,14,30,25,0.2029941827058792,0.22714821994304657,0.04499217371145884,0.033371115724245705,0.04558746392528216,[[0.27040296]],[[0.20056041]],[[0.27398066]],23.183183431625366
25,1,32,0.5,relu,21,10,25,0.17503881454467773,0.20315897464752197,0.051247152189413704,0.0385784866909186,0.0504335251947244,[[0.30799538]],[[0.23185671]],[[0.30310549]],31.090208292007446
26,1,32,0.5,relu,21,20,25,0.18367339670658112,0.21034111082553864,0.04599997277061144,0.0328736367324988,0.04547502100467682,[[0.27645984]],[[0.19757056]],[[0.27330488]],25.031335830688477
27,1,32,0.5,relu,21,30,25,0.2405068278312683,0.26581236720085144,0.05225946754217148,0.04003111273050308,0.05176103487610817,[[0.3140794]],[[0.24058699]],[[0.31108382]],21.43138337135315
28,1,32,0.5,tanh,7,10,25,0.20104999840259552,0.2249755710363388,0.04510474080840746,0.03346083934108416,0.04558568323651949,[[0.27107949]],[[0.20109964]],[[0.27396996]],33.75477409362793
29,1,32,0.5,tanh,7,20,25,0.18327148258686066,0.20586462318897247,0.04178341974814733,0.029594972108801205,0.04241572320461273,[[0.25111835]],[[0.17786578]],[[0.2549185]],23.616716384887695
30,1,32,0.5,tanh,7,30,25,0.18631525337696075,0.2088192254304886,0.04458618412415186,0.03338716800014178,0.04504770288864771,[[0.26796297]],[[0.20065688]],[[0.27073669]],20.40455174446106
31,1,32,0.5,tanh,14,10,25,0.19163507223129272,0.21620135009288788,0.04421094059944153,0.033159397542476654,0.04473175729314486,[[0.26570775]],[[0.19928798]],[[0.26883786]],32.164047956466675
32,1,32,0.5,tanh,14,20,25,0.16479821503162384,0.1897437572479248,0.039817847311496735,0.02792690445979436,0.040511527409156166,[[0.23930526]],[[0.1678407]],[[0.24347428]],22.67588710784912
33,1,32,0.5,tanh,14,30,25,0.19158613681793213,0.21524278819561005,0.04176823049783707,0.029970926543076832,0.0424887960155805,[[0.25102707]],[[0.18012527]],[[0.25535766]],22.386110305786133
34,1,32,0.5,tanh,21,10,25,0.1849934309720993,0.21162809431552887,0.046179577708244324,0.03350581849614779,0.04563287769754728,[[0.27753926]],[[0.20136997]],[[0.27425359]],35.19125962257385
35,1,32,0.5,tanh,21,20,25,0.18661612272262573,0.2090219110250473,0.04273129627108574,0.029096192369858425,0.04237782830993334,[[0.25681509]],[[0.17486812]],[[0.25469075]],23.2291898727417
36,1,32,0.5,tanh,21,30,25,0.21439610421657562,0.2379438430070877,0.04443786417444547,0.031067005669077236,0.044141750782728195,[[0.26707156]],[[0.1867127]],[[0.26529192]],21.569574117660522
37,1,64,0.0,relu,7,10,25,0.1995071917772293,0.22476284205913544,0.04899983108043671,0.037453060348828636,0.04948016256093979,[[0.29448898]],[[0.22509289]],[[0.29737578]],29.95992946624756
38,1,64,0.0,relu,7,20,25,0.17814938724040985,0.20123326778411865,0.04176567246516546,0.02961219536761443,0.042389944195747375,[[0.25101169]],[[0.17796929]],[[0.25476356]],24.203332901000977
39,1,64,0.0,relu,7,30,25,0.17730973660945892,0.20097319781780243,0.04111670951048533,0.02865591210623582,0.04178324217597643,[[0.24711142]],[[0.17222203]],[[0.25111729]],20.641316175460815
40,1,64,0.0,relu,14,10,25,0.1763162612915039,0.20230869948863983,0.047405129919449486,0.03578099235892296,0.047985448191563286,[[0.28490483]],[[0.21504376]],[[0.28839254]],34.139225482940674
41,1,64,0.0,relu,14,20,25,0.21310080587863922,0.23443467915058136,0.04558040450016657,0.03346667314569155,0.04627791419625282,[[0.27393823]],[[0.20113471]],[[0.27813026]],22.292043685913086
